rowid,kepid,tce_planet_num,tce_period,tce_time0bk,tce_duration,campaign,tce_depth,tce_impact,av_training_set
1,200001049,2,22.53150104,1994.286805,2.229556586,1,3.533806057,-0.000499553, C
2,201124136,2,35.03351595,1990.536978,2.779224158,1,0.076646412,0.907561616, C
3,201133060,2,22.41829947,1994.245049,1.846986122,1,0.137527984,0.717691223, C
4,201133060,3,0.12262433,1977.287723,0.070631614,1,0.044917142,0.01, C
5,201145205,2,27.33994211,1978.489422,3.457011335,1,0.092804907,0.204974193, C
6,201146489,2,21.42376217,1996.258832,3.94218994,1,0.124447419,1.03032667, C
7,201149979,2,35.00507353,1990.544102,2.146466275,1,0.126951084,0.266751626, C
8,201149979,3,0.245020762,1977.341273,0.141131959,1,0.049054625,0.01, C
9,201152386,2,40.0160003,1977.402567,5.114420596,1,0.133412755,0.837602956, C
10,201152386,3,35.26667253,1990.301312,2.2352444,1,0.150882367,0.856757898, C
11,201155103,2,7.849934519,1978.484574,3.38498928,1,0.302140135,1.170927373, C
12,201157465,2,0.245059609,1977.332903,0.141154335,1,0.038069899,0.01, C
13,201158453,2,7.077435045,1983.662966,3.272700574,1,0.322821362,0.971175814, C
14,201160323,2,22.30082179,1987.001683,4.58153618,1,0.540072629,-0.729776773, C
15,201161715,2,38.38737083,1989.545639,12.98308096,1,0.204635569,0.887615991, C
16,201161715,3,19.85217091,1988.324861,18.28003473,1,0.164997513,1.068427495, C
17,201162999,2,20.96410963,1996.65864,1.740705829,1,0.06176779,0.555429702, C
18,201162999,3,16.16442699,1978.545145,0.735071532,1,0.040442327,0.809106935, C
19,201164031,2,22.56362823,1991.283798,1.577314327,1,0.07417006,0.371839054, C
20,201164031,3,20.71724052,1996.649092,1.990905855,1,0.056396584,-0.140081629, C
21,201172326,2,35.26718784,1990.314414,1.830535773,1,0.153535606,0.437728358, C
22,201172705,2,40.01653639,1977.413072,6.329732219,1,0.093845788,0.804754809, C
23,201172764,2,35.26719003,1990.314529,1.893384022,1,0.169606043,0.421155113, C
24,201172764,3,0.24533172,1977.267297,0.14131107,1,0.052679116,0.01, C
25,201172764,4,21.89846977,1978.497641,1.898281442,1,0.091344799,-0.000470662, C
26,201172833,2,0.10220708,1977.345434,0.058871278,1,0.030823234,0.01, C
27,201172833,3,0.10220708,1977.284109,0.058871278,1,0.030276126,0.01, C
28,201172833,4,0.10220708,1977.304551,0.058871278,1,0.029670873,0.01, C
29,201172833,5,39.70624655,1978.894425,4.155386948,1,0.069902279,0.649408872, C
30,201172833,6,38.26715435,1981.663688,8.240605378,1,0.041927963,0.283766789, C
31,201173097,2,35.26732519,1990.313913,1.735236991,1,0.130437786,0.465239416, C
32,201173390,2,8.497052668,1983.318651,8.87575687,1,0.077675731,0.787681098, C
33,201174763,2,21.66742156,1995.969213,1.305456411,1,0.154017715,0.807045381, C
34,201175161,2,35.26720509,1990.316433,1.887500193,1,0.124832691,0.504005904, C
35,201175283,2,24.50870614,1993.991104,1.742462593,1,0.043279822,0.657876009, C
36,201177440,2,0.245098695,1977.303198,0.141176848,1,0.025975098,0.01, C
37,201178756,2,35.26721228,1990.314123,1.731033396,1,0.129084597,0.46626403, C
38,201180326,2,0.245059773,1977.33268,0.141154429,1,0.029712307,0.01, C
39,201185204,2,25.37201955,1990.564345,1.567239566,1,0.041315881,0.323453707, C
40,201185628,2,38.99450511,1986.584291,3.42923538,1,0.100375825,0.012426629, C
41,201195204,2,25.48953447,1990.330776,2.127822159,1,0.05989507,0.01, C
42,201195383,2,1.962771559,1978.935892,4.299907666,1,0.011094042,0.691645587, C
43,201233959,2,0.102194972,1977.335149,0.058864304,1,0.017501643,0.01, C
44,201234533,2,20.25986851,1996.680748,2.637605883,1,0.219222995,1.134818018, C
45,201238654,2,0.228231205,1977.28419,0.25,1,0.1105375,0.924203751, C
46,201246763,2,0.102122389,1977.280337,0.058822496,1,0.693970151,0.01, C
47,201246763,3,0.102122389,1977.321186,0.058822496,1,0.699695077,0.01, C
48,201246763,4,0.102122389,1977.341611,0.058822496,1,0.683989352,0.01, C
49,201246763,5,0.102122389,1977.362035,0.058822496,1,0.680417687,0.01, C
50,201246763,6,10.80620725,1981.902964,9.869252617,1,0.486040307,0.899425943, C
51,201250998,2,39.98277626,1978.756356,2.448151492,1,0.085737606,-0.000681359, C
52,201291936,2,0.102194972,1977.304849,0.058864304,1,0.027339564,0.01, C
53,201291936,3,0.102194972,1977.345727,0.058864304,1,0.026391094,0.01, C
54,201291936,4,0.102194972,1977.325288,0.058864304,1,0.026004493,0.01, C
55,201291936,5,0.1429867,1977.339153,0.082360339,1,0.035023899,0.01, C
56,201324549,2,28.49836825,2000.426883,3.566882617,1,0.026688794,0.532824799, C
57,201329742,2,22.11731214,1996.609061,2.18107577,1,0.088903613,0.028257781, C
58,201333466,2,11.00149789,1977.499888,2.557200824,1,0.188106059,0.95774486, C
59,201338508,2,10.93284705,1981.598709,2.963203017,1,0.031648798,0.964931351, C
60,201348290,2,17.634825,1988.327812,1.804814321,1,0.091367658,-0.000500019, C
61,201348290,3,14.76186103,1981.233148,1.768860763,1,0.087882844,0.899390685, C
62,201348290,4,12.49464922,1977.298211,1.181631976,1,0.071912937,0.356197789, C
63,201348290,5,17.39046769,1990.566426,1.885976827,1,0.261240437,1.088729662, C
64,201348290,6,36.74283888,1996.673404,2.645152806,1,0.094446476,0.709337883, C
65,201348290,7,0.106602095,1977.270859,0.061402807,1,0.04363332,0.01, C
66,201350186,2,23.69697023,1991.951466,14.14760734,1,0.202035233,-5.25E-05, C
67,201350186,3,23.90621115,1991.046675,7.715964545,1,0.188567903,0.008524459, C
68,201350499,2,30.89415703,1997.657283,2.872792453,1,0.125566589,1.043642842, C
69,201358431,2,0.10218288,1977.267176,0.058857339,1,0.025053967,0.01, C
70,201358431,3,0.102134489,1977.277436,0.058829465,1,0.024765413,0.01, C
71,201358431,4,0.102134489,1977.359143,0.058829465,1,0.025127311,0.01, C
72,201358431,5,0.102134489,1977.338716,0.058829465,1,0.023943139,0.01, C
73,201359834,2,20.06211538,1978.613394,2.296863289,1,0.191415894,1.072850261, C
74,201367065,2,24.64490168,1979.279629,3.734607849,1,0.032638834,0.895034763, C
75,201367065,3,22.2807844,1993.226052,3.953228107,1,0.024793148,-0.000492102, C
76,201368515,2,14.92945652,1983.276491,3.968539637,1,0.488786906,0.923648148, C
77,201371735,2,32.83495186,2006.490319,2.137418505,1,0.104083421,1.009390799, C
78,201377860,2,7.844124368,1978.520596,1.608756533,1,0.081158941,-0.000499998, C
79,201379113,2,21.21533869,1997.07073,5.048845595,1,0.210261037,0.984852267, C
80,201382417,2,2.598858105,1978.073317,5.140074417,1,0.124831319,0.846478432, C
81,201382417,3,37.87905423,1977.54343,4.912774969,1,0.04665051,0.411016695, C
82,201383702,2,7.844112459,1978.522905,1.532516715,1,0.064246696,0.174874393, C
83,201383768,2,37.02398774,1996.439643,2.111583263,1,0.053369848,0.82101166, C
84,201383902,2,28.6523976,2004.527943,2.10243676,1,0.053954711,0.628631686, C
85,201384695,2,13.69595643,1984.886817,4.72271575,1,0.026895859,0.825833794, C
86,201386768,2,7.844135357,1978.530364,1.175369353,1,0.063794407,-0.605806322, C
87,201390608,2,4.906809823,1979.482072,3.747970059,1,0.08517463,0.880534274, C
88,201392345,2,20.96692616,1996.658008,1.522438165,1,0.123315019,1.006554601, C
89,201392345,3,32.31156603,1993.248245,1.873211784,1,0.058238657,0.587785905, C
90,201403717,2,32.15588609,1986.589378,1.988302212,1,0.098696096,0.613474479, C
91,201406238,2,14.69756894,1989.337251,1.553753005,1,0.065950131,0.370465435, C
92,201408204,2,8.481884269,1985.494484,5.987461483,1,0.631053627,-0.48604788, C
93,201417264,2,29.84009794,2003.60632,1.060410112,1,0.207051411,1.008015962, C
94,201417670,2,22.87317942,1994.03705,3.578739489,1,0.035912803,0.529672933, C
95,201417670,3,32.10855013,1993.495183,2.042494179,1,0.040963761,0.01, C
96,201418296,2,0.245215461,1977.293123,0.141244105,1,0.028541133,0.01, C
97,201420388,2,8.577466998,1982.699811,1.705842278,1,0.05608316,0.004880394, C
98,201421351,2,7.84411081,1978.519004,1.536315606,1,0.06267449,-0.000505907, C
99,201421351,3,22.51542082,1994.24292,1.812973439,1,0.117810004,0.346783315, C
100,201421351,4,21.03813286,1994.315616,1.797798422,1,0.115647417,0.180950833, C
101,201421351,5,32.17829686,1986.55434,1.663060885,1,0.11129771,-0.004511854, C
102,201421351,6,32.84104593,2009.928013,3.171737311,1,0.349750276,1.170222737, C
103,201426057,2,20.74589865,1996.667618,2.222597954,1,0.192141653,-0.972881634, C
104,201433799,2,32.15772302,1986.57953,2.622293826,1,0.167654449,-0.982542186, C
105,201435193,2,30.07569502,2003.1286,1.510784725,1,0.070996286,0.949922662, C
106,201435672,2,20.34777506,1978.020156,1.817413698,1,0.067418356,-0.000500078, C
107,201436385,2,7.851636689,1978.489623,2.39459316,1,0.055760438,-0.142268654, C
108,201436411,2,28.17612637,1986.613406,2.415490149,1,0.11424249,1.009736332, C
109,201436411,3,17.68141126,1994.655694,1.877885371,1,0.034581471,0.546347268, C
110,201436749,2,0.143252042,1977.315248,0.25,1,0.042608465,-0.14668905, C
111,201438234,2,0.224706009,1977.300326,0.129430661,1,0.165909318,0.01, C
112,201445392,2,5.063032486,1980.075178,1.766029372,1,0.027361037,0.260709233, C
113,201448356,2,3.908942043,1980.982639,2.038601954,1,0.045050336,0.170710312, C
114,201454352,2,35.26846516,1990.315391,1.803385547,1,0.08194989,0.56053915, C
115,201464977,2,15.88974507,1985.139079,3.59988915,1,0.109723357,0.987514032, C
116,201468771,2,0.102122396,1977.275434,0.0588225,1,0.018044748,0.01, C
117,201468771,3,37.84712495,2013.056079,1.625469287,1,0.04872468,0.737135879, C
118,201468771,4,39.26509085,2011.641573,5.591857675,1,0.038057006,-0.000493178, C
119,201468771,5,20.93029455,1992.296683,3.502584647,1,0.019099692,0.033248355, C
120,201469088,2,22.47096517,1994.15221,1.627878795,1,0.046541097,0.460093112, C
121,201471628,2,0.245215461,1977.293151,0.141244105,1,0.036328467,0.01, C
122,201471628,3,0.245060012,1977.312801,0.141154567,1,0.040490215,0.01, C
123,201472508,2,34.94827689,1990.606517,1.790530113,1,0.126282238,0.457956493, C
124,201472709,2,17.47317485,1992.863321,1.45120906,1,0.043359976,0.577076547, C
125,201476983,2,22.51932704,1994.263335,4.184992959,1,0.369657589,1.169095853, C
126,201494203,2,25.3743275,1990.563784,1.563155385,1,0.03801061,-0.238973227, C
127,201497682,2,7.797711152,1981.28055,2.805679747,1,0.023107229,0.911793263, C
128,201505350,2,11.90731306,1984.275221,3.713413099,1,0.044614166,-0.000680893, C
129,201505350,3,2.508679573,1978.425639,1.82015737,1,0.01252931,0.701668204, C
130,201515157,2,0.102170773,1977.26348,0.058850365,1,0.179246695,0.01, C
131,201515157,3,39.98574328,1977.413716,1.932281999,1,0.183332982,-0.000484908, C
132,201518904,2,9.899175302,1986.439341,0.819728737,1,0.109794819,0.40548483, C
133,201523873,2,2.494766957,1978.815191,13.04957306,1,0.199041544,0.996667226, C
134,201530296,2,10.34347694,1984.341334,5.372626382,1,0.569171089,-0.652402672, C
135,201537563,2,0.122562699,1977.319979,0.070596115,1,0.015863982,0.01, C
136,201543265,2,22.21242926,1994.178872,2.370747125,1,0.097826239,0.659207831, C
137,201543265,3,21.08240469,1994.212868,2.327859784,1,0.081053539,-0.345118538, C
138,201548872,2,32.73243213,2008.595061,3.094550537,1,19.29535097,-0.000513491, C
139,201548872,3,25.52807236,1990.246168,4.225336114,1,2.771328885,0.01, C
140,201549755,2,0.102125138,1977.312797,0.05882408,1,0.808817739,0.01, C
141,201549755,3,0.102125138,1977.353647,0.05882408,1,0.814034697,0.01, C
142,201549755,4,0.102125138,1977.292372,0.05882408,1,0.764667016,0.01, C
143,201549755,5,0.102125138,1977.333222,0.05882408,1,0.761576841,0.01, C
144,201549860,2,2.399753832,1977.588517,1.651532798,1,0.01870637,0.130349892, C
145,201550225,2,0.488585911,1977.566147,1.523851049,1,0.011879781,0.833566314, C
146,201551614,2,28.94494876,2004.505927,2.637452937,1,0.172908493,0.967177538, C
147,201555080,2,0.139686107,1977.350791,0.25,1,0.031101608,-0.482278704, C
148,201562612,2,27.23816272,1996.437028,1.372048616,1,0.203552202,0.060140038, C
149,201563438,2,21.11193349,1994.168322,2.508260169,1,0.049424239,-0.803424617, C
150,201563438,3,21.31905222,1996.428139,0.639589599,1,0.046553052,4.88E-05, C
151,201563438,4,21.06760318,1996.463565,3.029425319,1,0.115436063,-1.023364084, C
152,201567796,2,2.504445245,1979.563423,4.211186245,1,0.033214977,0.691096235, C
153,201569078,2,39.09619632,2016.139456,1.637354268,1,0.092898811,0.656110609, C
154,201569866,2,1.957167126,1978.986817,4.958965684,1,0.023951408,0.654041724, C
155,201569902,2,40.01940095,2016.2604,50.42612664,1,0.031087616,0.112141074, C
156,201573920,2,35.26859852,1990.313375,1.712147357,1,0.092645568,0.52738135, C
